Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name
arith,19.0,3.10921740893986e-13,0.0062467872788669904,8.05735743000179e-07,-3.0739830650905478,-2.4768180289207e-06,1,1,hbr,True,S1_D1 hbr
arith1,19.0,3.10921740893986e-13,0.2271308745281668,8.05540734632618e-07,1.2481729351779363,1.005454143151786e-06,1,1,hbr,False,S1_D1 hbr
constant_run1,19.0,3.10921740893986e-13,0.06564921136419863,1.0580127272192566e-06,-1.9534686461172284,-2.0667946898157977e-06,1,1,hbr,False,S1_D1 hbr
constant_run2,19.0,3.10921740893986e-13,0.20407870438088346,1.1192049396651551e-06,1.3152495182659454,1.4720337577354618e-06,1,1,hbr,False,S1_D1 hbr
constant_run3,19.0,3.10921740893986e-13,0.9755981802110567,1.1164674850508871e-06,0.030993249194479384,3.460295498171583e-08,1,1,hbr,False,S1_D1 hbr
constant_run4,19.0,3.10921740893986e-13,0.8665064422297646,1.139921069508666e-06,0.17038780771567427,1.9422865200248834e-07,1,1,hbr,False,S1_D1 hbr
control,19.0,3.10921740893986e-13,0.37205192214171934,8.059413527467997e-07,-0.9142316470265668,-7.368170903285259e-07,1,1,hbr,False,S1_D1 hbr
drift_1_run1,19.0,3.10921740893986e-13,0.42088959634010614,3.855087716908729e-05,0.822690742734713,3.1715449771311114e-05,1,1,hbr,False,S1_D1 hbr
drift_1_run2,19.0,3.10921740893986e-13,0.49459538341222764,4.1968282760807955e-05,0.6964247426066336,2.92277505193381e-05,1,1,hbr,False,S1_D1 hbr
drift_1_run3,19.0,3.10921740893986e-13,0.029585107224728974,4.201935197709556e-05,2.3523928273582917,9.884602220116305e-05,1,1,hbr,True,S1_D1 hbr
drift_1_run4,19.0,3.10921740893986e-13,0.7334364751441167,4.375231671242915e-05,-0.34560526862577196,-1.5121031170398927e-05,1,1,hbr,False,S1_D1 hbr
drift_2_run1,19.0,3.10921740893986e-13,0.008606248141463714,3.543215575480754e-05,-2.9292721325879527,-0.00010379042645007359,1,1,hbr,True,S1_D1 hbr
drift_2_run2,19.0,3.10921740893986e-13,0.729226395103589,3.9801072889425975e-05,0.3513033425808568,1.3982249944359668e-05,1,1,hbr,False,S1_D1 hbr
drift_2_run3,19.0,3.10921740893986e-13,0.8698557014122897,3.986923525632334e-05,0.16607077888615315,6.621114952612895e-06,1,1,hbr,False,S1_D1 hbr
drift_2_run4,19.0,3.10921740893986e-13,0.05963292554541609,4.218292969833932e-05,-2.00317592400429,-8.449982917567887e-05,1,1,hbr,False,S1_D1 hbr
drift_3_run1,19.0,3.10921740893986e-13,0.18364443083635631,3.6785902841662015e-05,1.3798876281081138,5.076041221999652e-05,1,1,hbr,False,S1_D1 hbr
drift_3_run2,19.0,3.10921740893986e-13,0.8629615822384715,3.964900058738449e-05,-0.17496059657534324,-6.937012796384925e-06,1,1,hbr,False,S1_D1 hbr
drift_3_run3,19.0,3.10921740893986e-13,0.0018096507756510186,3.9767863679650836e-05,3.6233573658142246,0.00014409318178635884,1,1,hbr,True,S1_D1 hbr
drift_3_run4,19.0,3.10921740893986e-13,0.2788626359141745,4.1258620619639295e-05,-1.1147438916988635,-4.599279531566368e-05,1,1,hbr,False,S1_D1 hbr
arith,19.0,2.2008026619412974e-11,4.546837385343229e-06,6.778875154643672e-06,-6.323710689459763,-4.2867645277933396e-05,2,1,hbo,True,S2_D1 hbo
arith1,19.0,2.2008026619412974e-11,0.1616270814988004,6.77723449591742e-06,-1.4563354368505728,-9.869926760250667e-06,2,1,hbo,False,S2_D1 hbo
constant_run1,19.0,2.2008026619412974e-11,0.7151353839025087,8.901350414389918e-06,0.37046297580939175,3.2976207632370515e-06,2,1,hbo,False,S2_D1 hbo
constant_run2,19.0,2.2008026619412974e-11,0.0024210355725180475,9.416177232252814e-06,3.4952989732196094,3.291235461154712e-05,2,1,hbo,True,S2_D1 hbo
constant_run3,19.0,2.2008026619412974e-11,0.335329324144214,9.393146277956895e-06,-0.9885014637489595,-9.285138844968482e-06,2,1,hbo,False,S2_D1 hbo
constant_run4,19.0,2.2008026619412974e-11,0.00184389370040786,9.590467697975044e-06,3.615121652474417,3.467070743230606e-05,2,1,hbo,True,S2_D1 hbo
control,19.0,2.2008026619412974e-11,3.635204807717171e-06,6.780605005671169e-06,-6.431593436119738,-4.3610094647395326e-05,2,1,hbo,True,S2_D1 hbo
drift_1_run1,19.0,2.2008026619412974e-11,0.0039017639284769025,0.000324339072334275,-3.2841964537388013,-0.0010651932311691586,2,1,hbo,True,S2_D1 hbo
drift_1_run2,19.0,2.2008026619412974e-11,0.7274747392102227,0.000353090640153267,0.35367760437511625,0.0001248802517366837,2,1,hbo,False,S2_D1 hbo
drift_1_run3,19.0,2.2008026619412974e-11,0.3830369042288164,0.00035352029943606125,0.8929841912208938,0.0003156880386720793,2,1,hbo,False,S2_D1 hbo
drift_1_run4,19.0,2.2008026619412974e-11,0.10748406966011334,0.00036810020567738566,1.6894093402378993,0.0006218719256148672,2,1,hbo,False,S2_D1 hbo
drift_2_run1,19.0,2.2008026619412974e-11,0.0013914281313294238,0.0002981004161828232,-3.7386859320898034,-0.0011145038323328367,2,1,hbo,True,S2_D1 hbo
drift_2_run2,19.0,2.2008026619412974e-11,0.14788886999387438,0.00033485731082707055,1.5084489343422758,0.0005051151536738148,2,1,hbo,False,S2_D1 hbo
drift_2_run3,19.0,2.2008026619412974e-11,8.359760435596645e-05,0.0003354307794604984,-4.977500871439171,-0.0016696069970721507,2,1,hbo,True,S2_D1 hbo
drift_2_run4,19.0,2.2008026619412974e-11,0.5595227178625196,0.0003548965235393431,0.5939940166254459,0.00021080641150354152,2,1,hbo,False,S2_D1 hbo
drift_3_run1,19.0,2.2008026619412974e-11,0.00039521949398153936,0.0003094898606408519,-4.290069537170291,-0.0013277330231983976,2,1,hbo,True,S2_D1 hbo
drift_3_run2,19.0,2.2008026619412974e-11,0.10535304521658305,0.00033357788496198487,1.700472239181504,0.0005672399329827365,2,1,hbo,False,S2_D1 hbo
drift_3_run3,19.0,2.2008026619412974e-11,0.06716316366800436,0.0003345779126633354,-1.9416017665857563,-0.0006496170662877069,2,1,hbo,False,S2_D1 hbo
drift_3_run4,19.0,2.2008026619412974e-11,0.06544643562217468,0.00034712005848458406,1.9550765207532828,0.0006786462762257167,2,1,hbo,False,S2_D1 hbo
arith,19.0,8.964825631851657e-13,9.945408928614546e-06,1.3681635240959438e-06,-5.951924650395897,-8.143206204839169e-06,2,1,hbr,True,S2_D1 hbr
arith1,19.0,8.964825631851657e-13,0.0917292376136268,1.3678323940229538e-06,-1.7761295357370077,-2.4294475149620284e-06,2,1,hbr,False,S2_D1 hbr
constant_run1,19.0,8.964825631851657e-13,0.05114137084718688,1.796537430523716e-06,-2.0816004517282836,-3.7396731269249368e-06,2,1,hbr,False,S2_D1 hbr
constant_run2,19.0,8.964825631851657e-13,8.72147235902964e-05,1.900443647611059e-06,4.958554758712523,9.423453892526803e-06,2,1,hbr,True,S2_D1 hbr
constant_run3,19.0,8.964825631851657e-13,0.031127145204565814,1.8957953673471551e-06,2.3277501222537373,4.412937898110409e-06,2,1,hbr,True,S2_D1 hbr
constant_run4,19.0,8.964825631851657e-13,0.48742831894005745,1.93562025912241e-06,0.7081849964255514,1.3707772262878288e-06,2,1,hbr,False,S2_D1 hbr
control,19.0,8.964825631851657e-13,1.4446645273380673e-05,1.3685126556294136e-06,-5.7774198412719535,-7.906472169665146e-06,2,1,hbr,True,S2_D1 hbr
drift_1_run1,19.0,8.964825631851657e-13,0.059404845257558694,6.546054884974442e-05,-2.005147197921891,-0.00013125803610049408,2,1,hbr,False,S2_D1 hbr
drift_1_run2,19.0,8.964825631851657e-13,0.41205574390867283,7.126340632287094e-05,-0.8387180096616658,-5.976990231282888e-05,2,1,hbr,False,S2_D1 hbr
drift_1_run3,19.0,8.964825631851657e-13,0.21720291530567065,7.135012338803265e-05,-1.2763797532298449,-9.106985288293609e-05,2,1,hbr,False,S2_D1 hbr
drift_1_run4,19.0,8.964825631851657e-13,0.04269964843801515,7.429274962749868e-05,-2.1722431231676893,-0.00016138191447955292,2,1,hbr,True,S2_D1 hbr
drift_2_run1,19.0,8.964825631851657e-13,1.5227472507742048e-06,6.016486609283149e-05,-6.85841861420099,-0.00041263583753198545,2,1,hbr,True,S2_D1 hbr
drift_2_run2,19.0,8.964825631851657e-13,0.010228422834968127,6.758341878248348e-05,2.8506179584919815,0.0001926545072776317,2,1,hbr,True,S2_D1 hbr
drift_2_run3,19.0,8.964825631851657e-13,0.12794818201665192,6.769916053145662e-05,1.5917215613671063,0.00010775821350437251,2,1,hbr,False,S2_D1 hbr
drift_2_run4,19.0,8.964825631851657e-13,0.00408020989455983,7.162788327830028e-05,-3.2643213304613363,-0.0002338164272411505,2,1,hbr,True,S2_D1 hbr
drift_3_run1,19.0,8.964825631851657e-13,0.7312354560784621,6.246356936021903e-05,0.3485827307682792,2.1773721581118966e-05,2,1,hbr,False,S2_D1 hbr
drift_3_run2,19.0,8.964825631851657e-13,0.5124856875568515,6.732519544004648e-05,-0.6674900026809545,-4.493889488477241e-05,2,1,hbr,False,S2_D1 hbr
drift_3_run3,19.0,8.964825631851657e-13,0.0677522326599135,6.752702854551916e-05,1.9370486267419413,0.00013080313791206176,2,1,hbr,False,S2_D1 hbr
drift_3_run4,19.0,8.964825631851657e-13,0.028232246470155927,7.0058378664096e-05,-2.375014827757703,-0.00016638968813589188,2,1,hbr,True,S2_D1 hbr
arith,19.0,1.5363113809832764e-11,2.685799541997286e-07,5.663784338293891e-06,-7.74825364138211,-4.3884437623188605e-05,3,1,hbo,True,S3_D1 hbo
